rank wordform abs r
1 the 225300 29
2 and 157486 29
3 to 134478 29
4 of 126523 29
5 a 100200 29
6 I 91584 29
7 in 73439 29
8 was 63012 29
9 he 59158 29
10 that 55871 29
11 it 55915 29
12 his 47361 29
13 her 50679 29
14 you 46673 29
15 as 42859 29
16 had 40907 29
17 with 40496 29
18 for 38406 29
19 she 40263 29
20 not 34597 29
21 at 31552 29
22 but 30309 29
23 be 30651 29
24 my 31018 29
25 on 26766 29
26 have 26511 29
27 him 25339 29
28 is 24936 29
29 said 25367 29
30 me 25281 29
31 which 22503 29
32 by 20847 29
33 so 20510 29
34 this 20024 29
35 all 19709 29
36 from 17536 29
37 they 17164 29
38 no 16645 29
39 were 16598 29
40 if 15844 29
41 would 15819 29
42 or 14680 29
43 when 14491 29
44 what 14482 29
45 there 13501 29
46 been 13590 29
47 one 13277 29
48 could 12821 29
49 very 13095 29
50 an 12177 29
51 who 11758 29
52 them 11459 29
53 Mr 14720 27
54 we 11526 29
55 now 11253 29
56 more 11022 29
57 out 11226 29
58 do 11046 29
59 are 10604 29
60 up 10804 29
61 their 10884 29
62 your 10733 29
63 will 10572 29
64 little 9898 29
65 than 9468 29
66 then 9256 29
67 some 8924 29
68 into 8790 29
69 any 8921 29
70 well 7990 29
71 much 8007 29
72 about 7927 29
73 time 7636 29
74 know 7813 29
75 should 7659 29
76 man 7868 29
77 did 7666 29
78 like 7774 29
79 upon 8396 29
80 such 7587 29
81 never 7353 29
82 only 7098 29
83 good 7103 29
84 how 6943 29
85 before 6804 29
86 other 6667 29
87 see 6615 29
88 must 6756 29
89 am 6752 29
90 own 6358 29
91 come 6403 29
92 down 6501 29
93 say 6148 29
94 after 6031 29
95 think 6135 29
96 made 6046 29
97 might 6080 29
98 being 6133 29
99 Mrs 7610 25
100 again 5770 29
101 great 5864 29
102 two 5677 29
103 can 5573 29
104 go 5580 29
105 over 5417 29
106 too 5332 29
107 here 5401 29
108 came 5550 29
109 old 5569 29
110 thought 5053 29
111 himself 5098 29
112 where 4899 29
113 our 5278 29
114 may 4941 29
115 first 4793 29
116 way 4815 29
117 has 5044 29
118 though 4776 29
119 without 4570 29
120 went 4945 29
121 us 4611 29
122 away 4462 29
123 day 4385 29
124 make 4334 29
125 these 4372 29
126 young 4467 29
127 nothing 4271 29
128 long 4183 29
129 shall 4264 29
130 sir 4732 29
131 back 4312 29
132 don't 5158 27
133 house 4078 29
134 ever 3917 29
135 yet 3909 29
136 take 3824 29
137 every 4051 29
138 hand 3924 29
139 most 3968 29
140 last 3713 29
141 eyes 3813 29
142 its 3833 29
143 miss 5092 28
144 having 3621 29
145 off 3637 29
146 looked 3709 29
147 even 3651 29
148 while 3463 29
149 dear 3952 29
150 look 3518 29
151 many 3504 29
152 life 3447 29
153 still 3495 29
154 mind 3437 29
155 quite 3700 29
156 another 3388 29
157 those 3442 29
158 just 3456 29
159 head 3447 29
160 tell 3304 29
161 better 3240 29
162 always 3400 29
163 saw 3282 29
164 seemed 3346 29
165 put 3205 29
166 face 3375 29
167 let 3144 29
168 took 3177 29
169 poor 3182 29
170 place 3068 29
171 why 3178 29
172 done 3051 29
173 herself 3499 28
174 found 3057 29
175 through 3044 29
176 same 3043 29
177 going 3110 29
178 under 2968 29
179 enough 2959 29
180 soon 3093 29
181 home 3027 29
182 give 2921 29
183 indeed 3236 29
184 left 2864 29
185 get 3074 29
186 once 2870 29
187 mother 3571 27
188 heard 2738 29
189 myself 3080 29
190 rather 2755 29
191 love 2874 28
192 knew 2760 29
193 got 2913 29
194 lady 3400 27
195 room 2785 29
196 something 2754 29
197 yes 3049 28
198 thing 2897 29
199 father 2778 28
200 perhaps 2631 29
201 sure 2704 29
202 heart 2635 29
203 oh 2941 28
204 right 2632 29
205 against 2566 29
206 three 2633 29
207 men 2743 28
208 night 2582 29
209 people 2521 29
210 door 2616 29
211 told 2465 29
212 round 2616 29
213 because 2561 29
214 woman 2697 28
215 till 2622 29
216 felt 2589 29
217 between 2377 29
218 both 2413 29
219 side 2383 29
220 seen 2321 29
221 morning 2345 29
222 began 2413 29
223 whom 2460 29
224 however 2429 29
225 asked 2522 29
226 things 2482 29
227 part 2329 29
228 almost 2327 29
229 moment 2272 29
230 looking 2360 29
231 want 2213 29
232 far 2154 29
233 hands 2236 29
234 gone 2159 29
235 world 2146 29
236 few 2091 29
237 towards 2084 28
238 gave 2053 29
239 friend 2205 29
240 name 2088 29
241 best 2001 29
242 word 2002 29
243 turned 2045 29
244 kind 2012 29
245 cried 2248 29
246 since 1989 28
247 anything 2162 28
248 next 1942 29
249 find 1912 29
250 half 1941 29
251 hope 1987 29
252 called 1896 29
253 nor 2050 29
254 words 1921 29
255 hear 1908 29
256 brought 1899 29
257 set 1942 29
258 each 1925 29
259 replied 2295 29
260 wish 1970 29
261 voice 1919 29
262 whole 1897 29
263 together 1859 29
264 manner 1942 29
265 new 1889 29
266 believe 1863 29
267 course 1869 29
268 least 1831 29
269 years 1824 29
270 answered 2129 29
271 among 1818 29
272 stood 1930 29
273 sat 1903 29
274 speak 1773 29
275 leave 1740 29
276 work 1853 29
277 keep 1742 29
278 taken 1689 29
279 end 1698 29
280 less 1741 29
281 present 1764 29
282 family 1874 28
283 often 1711 29
284 wife 1797 29
285 whether 1644 29
286 master 2096 28
287 coming 1644 29
288 mean 1657 29
289 returned 1818 29
290 evening 1649 29
291 light 1678 28
292 money 1728 28
293 cannot 1691 29
294 whose 1615 29
295 boy 1924 29
296 days 1511 29
297 near 1529 29
298 matter 1512 29
299 suppose 1490 29
300 gentleman 1868 28
301 used 1495 29
302 says 1736 29
303 really 1600 29
304 rest 1458 28
305 business 1461 29
306 full 1424 29
307 help 1435 29
308 child 1495 29
309 sort 1489 29
310 passed 1449 29
311 lay 1510 29
312 small 1434 29
313 behind 1416 29
314 girl 1569 26
315 feel 1474 29
316 fire 1461 29
317 care 1348 29
318 alone 1368 29
319 open 1351 29
320 person 1465 29
321 call 1333 29
322 given 1352 29
323 I'll 1778 26
324 sometimes 1319 29
325 making 1322 29
326 short 1346 29
327 else 1369 29
328 large 1337 29
329 within 1338 29
330 chapter 1414 28
331 true 1306 29
332 country 1409 29
333 times 1277 29
334 ask 1271 29
335 answer 1284 29
336 air 1278 29
337 kept 1263 29
338 hour 1274 29
339 letter 1356 29
340 happy 1360 29
341 reason 1268 29
342 pretty 1266 29
343 husband 1418 27
344 certain 1246 28
345 others 1266 29
346 ought 1273 29
347 does 1293 29
348 known 1205 29
349 it's 2068 23
350 bed 1249 29
351 table 1231 28
352 that's 1578 26
353 ready 1161 29
354 read 1165 29
355 already 1177 29
356 pleasure 1225 29
357 either 1187 29
358 means 1178 29
359 spoke 1142 29
360 taking 1138 29
361 friends 1203 29
362 talk 1176 29
363 hard 1205 29
364 walked 1198 29
365 turn 1128 29
366 strong 1154 28
367 thus 1227 27
368 yourself 1157 29
369 high 1136 29
370 along 1248 29
371 above 1125 29
372 feeling 1240 29
373 glad 1123 29
374 children 1246 29
375 doubt 1143 29
376 nature 1172 27
377 themselves 1111 29
378 black 1233 28
379 hardly 1138 29
380 town 1174 28
381 sense 1126 29
382 saying 1090 29
383 deal 1130 29
384 account 1159 28
385 use 1103 29
386 white 1209 29
387 bad 1101 29
388 everything 1243 27
389 can't 1380 26
390 neither 1119 29
391 wanted 1158 29
392 mine 1104 29
393 close 1095 29
394 return 1101 28
395 dark 1207 29
396 fell 1095 29
397 subject 1136 28
398 bear 1028 28
399 appeared 1060 28
400 fear 1081 29
401 state 1049 29
402 thinking 1045 29
403 also 1101 29
404 point 1031 28
405 therefore 1332 27
406 fine 1059 29
407 case 1002 29
408 doing 1004 29
409 held 1024 29
410 certainly 1098 29
411 walk 1010 29
412 lost 975 29
413 question 1013 29
414 company 1049 28
415 continued 1076 29
416 fellow 1117 28
417 truth 1056 28
418 water 1133 29
419 possible 1024 29
420 hold 986 29
421 afraid 1003 29
422 bring 957 29
423 honour 1247 29
424 low 977 29
425 ground 1015 29
426 added 1006 29
427 five 970 29
428 remember 979 29
429 except 1004 29
430 power 1011 27
431 seeing 977 29
432 dead 1019 29
433 I'm 1464 24
434 usual 944 29
435 able 991 29
436 second 925 29
437 arms 1015 28
438 late 929 29
439 opinion 1051 29
440 window 1002 28
441 brother 1135 26
442 live 913 29
443 four 943 29
444 none 949 29
445 death 948 28
446 arm 961 29
447 road 968 28
448 hair 989 29
449 sister 1290 26
450 entered 960 27
451 sent 911 29
